id,created_at,genero,edad,estado_civil,educacion,estado_votante,tema_importante_eleccion,prioridad_candidato,frecuencia_voto,cargo,postura_economica,postura_sobre_seguridad,prioridad_politica,fuente_informacion,experiencia_candidato,tendencia_ideológica,entidad_candidato,partido
66,2025-11-13T12:33:19.852463,Masculino,36–45 (votantes activos con experiencia),Divorciado(a),Universidad,Votante experimentado en elecciones federales,Seguridad y justicia,Honestidad ante todo,"Siempre voto, soy un votante experimentado y activo",PRESIDENCIA DE LA REPÚBLICA,Reducción de impuestos para incentivar inversión,Inteligencia policial y análisis de datos,Protección a las mujeres y familias,Periódicos digitales y portales de noticias,Sigo noticias políticas con frecuencia,Conservadora (valores tradicionales),San Luis Potosí,PARTIDO ACCIÓN NACIONAL
67,2025-11-13T12:33:19.852466,Femenino,18–25 (jóvenes votantes primerizos),Soltero(a),Preparatoria / Bachillerato,Nunca he votado pero estoy interesado,Equidad de género,Carisma y liderazgo,"Nunca he votado, soy nuevo votante",PRESIDENCIA DE LA REPÚBLICA,Cuidado del medio ambiente,Prevención y educación en comunidades,Igualdad de género y derechos humanos,TikTok,No tengo mucho conocimiento político,Progresista (enfocado en cambio social),Guerrero,MOVIMIENTO CIUDADANO
68,2025-11-13T12:33:19.852469,Masculino,60+ (votantes experimentados de larga trayectoria),Casado(a),Primaria,Votante frecuente en elecciones locales,Economía y empleo,Honestidad ante todo,"Siempre voto, soy un votante experimentado y activo",PRESIDENCIA DE LA REPÚBLICA,Regulación estatal estricta para controlar precios,Mano dura contra la delincuencia,Impulso a pequeñas empresas,Televisión abierta,He participado en campañas o debates políticos,Conservadora (valores tradicionales),Coahuila,PARTIDO ACCIÓN NACIONAL
70,2025-11-13T12:33:19.852700,Masculino,18–25 (jóvenes votantes primerizos),Soltero(a),Secundaria,Nunca he votado pero estoy interesado,Economía y empleo,Carisma y liderazgo,"Nunca he votado, soy nuevo votante",PRESIDENCIA DE LA REPÚBLICA,Fomento al emprendimiento privado y nuevas empresas,Prevención y educación en comunidades,Igualdad de género y derechos humanos,Redes sociales (TikTok, Facebook, Instagram),No tengo mucho conocimiento político,Liberal (libertades individuales y económicas),Guerrero,PARTIDO DEL TRABAJO
71,2025-11-13T12:33:19.852705,Femenino,26–35 (adultos jóvenes con interés político),Casado(a),Universidad,He votado pocas veces,Salud y bienestar,Honestidad ante todo,"Voto a veces, tengo interés moderado",PRESIDENCIA DE LA REPÚBLICA,Reducción de impuestos para incentivar inversión,Más tecnología y vigilancia inteligente,Derechos digitales y privacidad,Periódicos digitales y portales de noticias,Sigo noticias políticas con frecuencia,Liberal (libertades individuales y económicas),Puebla,PARTIDO DEL TRABAJO
72,2025-11-13T12:33:19.852710,Otro / Prefiero no decirlo,36–45 (votantes activos con experiencia),Unión libre,Posgrado,Votante experimentado en elecciones federales,Corrupción y transparencia gubernamental,Experiencia política sólida,"Casi siempre voto, estoy bastante involucrado",PRESIDENCIA DE LA REPÚBLICA,Fomento al emprendimiento privado y nuevas empresas,Inteligencia policial y análisis de datos,Innovación tecnológica,Debates o foros políticos en línea,Sigo noticias políticas con frecuencia,Liberal (libertades individuales y económicas),Michoacán,PARTIDO DEL TRABAJO
73,2025-11-13T12:33:19.852715,Masculino,46–60 (seguimiento político frecuente),Divorciado(a),Universidad,Votante experimentado en elecciones federales,Seguridad y justicia,Experiencia política sólida,"Siempre voto, soy un votante experimentado y activo",PRESIDENCIA DE LA REPÚBLICA,Reducción de impuestos para incentivar inversión,Mano dura contra la delincuencia,Protección a las mujeres y familias,Televisión abierta,He participado en campañas o debates políticos,Liberal (libertades individuales y económicas),Coahuila,PARTIDO DEL TRABAJO
74,2025-11-13T12:33:19.852720,Femenino,60+ (votantes experimentados de larga trayectoria),Viudo(a),Primaria,Votante frecuente en elecciones locales,Salud y bienestar,Honestidad ante todo,"Siempre voto, soy un votante experimentado y activo",PRESIDENCIA DE LA REPÚBLICA,Mayor gasto social y apoyo a programas públicos,Prevención y educación en comunidades,Salud pública y servicios médicos,Radio,No tengo mucho conocimiento político,Liberal (libertades individuales y económicas),Campeche,PARTIDO DEL TRABAJO
75,2025-11-13T12:33:19.852725,Femenino,18–25 (jóvenes votantes primerizos),Unión libre,Preparatoria / Bachillerato,Primera vez que voto,Equidad de género,Empatía con la ciudadanía,"Nunca he votado, soy nuevo votante",PRESIDENCIA DE LA REPÚBLICA,Regulación estatal estricta para controlar precios,Más tecnología y vigilancia inteligente,Igualdad de género y derechos humanos,TikTok,No tengo mucho conocimiento político,Liberal (libertades individuales y económicas),Hidalgo,PARTIDO DEL TRABAJO
76,2025-11-13T12:33:19.852730,Masculino,26–35 (adultos jóvenes con interés político),Soltero(a),Posgrado,He votado pocas veces,Ciencia y tecnología,Carisma y liderazgo,"Voto a veces, tengo interés moderado",PRESIDENCIA DE LA REPÚBLICA,Mayor inversión en ciencia y tecnología,Prevención y educación en comunidades,Derechos digitales y privacidad,Periódicos digitales y portales de noticias,Sigo noticias políticas con frecuencia,Liberal (libertades individuales y económicas),Chihuahua,PARTIDO DEL TRABAJO
77,2025-11-13T12:33:19.852735,Otro / Prefiero no decirlo,60+ (votantes experimentados de larga trayectoria),Casado(a),Secundaria,Votante experimentado en elecciones federales,Economía y empleo,Experiencia política sólida,"Siempre voto, soy un votante experimentado y activo",PRESIDENCIA DE LA REPÚBLICA,Reducción de impuestos para incentivar inversión,Mano dura contra la delincuencia,Impulso a pequeñas empresas,Televisión abierta,He participado en campañas o debates políticos,Liberal (libertades individuales y económicas),Durango,PARTIDO DEL TRABAJO
78,2025-11-13T12:33:19.852740,Femenino,46–60 (seguimiento político frecuente),Casado(a),Universidad,Votante experimentado en elecciones federales,Medio ambiente y sustentabilidad,Empatía con la ciudadanía,"Casi siempre voto, estoy bastante involucrado",PRESIDENCIA DE LA REPÚBLICA,Fomento al emprendimiento privado y nuevas empresas,Inteligencia policial y análisis de datos,Cuidado del medio ambiente,Debates o foros políticos en línea,Sigo noticias políticas con frecuencia,Liberal (libertades individuales y económicas),Tlaxcala,PARTIDO DEL TRABAJO
79,2025-11-13T12:33:19.852745,Masculino,36–45 (votantes activos con experiencia),Soltero(a),Preparatoria / Bachillerato,Votante activo en elecciones locales,Innovación tecnológica,Carisma y liderazgo,"Siempre voto, soy un votante experimentado y activo",PRESIDENCIA DE LA REPÚBLICA,Mayor inversión en ciencia y tecnología,Más tecnología y vigilancia inteligente,Derechos digitales y privacidad,Redes sociales (TikTok, Facebook, Instagram),Sigo noticias políticas con frecuencia,Liberal (libertades individuales y económicas),Morelos,PARTIDO DEL TRABAJO
80,2025-11-13T12:33:19.852750,Femenino,26–35 (adultos jóvenes con interés político),Soltero(a),Universidad,Nunca he votado pero estoy interesado,Salud y bienestar,Carisma y liderazgo,"Nunca he votado, soy nuevo votante",PRESIDENCIA DE LA REPÚBLICA,Fomento al emprendimiento privado y nuevas empresas,Prevención y educación en comunidades,Salud pública y servicios médicos,TikTok,No tengo mucho conocimiento político,Liberal (libertades individuales y económicas),Aguascalientes,PARTIDO DEL TRABAJO
81,2025-11-13T12:33:19.852755,Masculino,18–25 (jóvenes votantes primerizos),Soltero(a),Secundaria,Primera vez que voto,Corrupción y transparencia gubernamental,Empatía con la ciudadanía,"Nunca he votado, soy nuevo votante",PRESIDENCIA DE LA REPÚBLICA,Regulación estatal estricta para controlar precios,Reformas profundas al sistema de justicia,Innovación tecnológica,Redes sociales (TikTok, Facebook, Instagram),No tengo mucho conocimiento político,Liberal (libertades individuales y económicas),Sonora,PARTIDO DEL TRABAJO
82,2025-11-13T12:33:19.852760,Femenino,36–45 (votantes activos con experiencia),Divorciado(a),Universidad,Votante experimentado en elecciones federales,Economía y empleo,Experiencia política sólida,"Casi siempre voto, estoy bastante involucrado",PRESIDENCIA DE LA REPÚBLICA,Reducción de impuestos para incentivar inversión,Inteligencia policial y análisis de datos,Impulso a pequeñas empresas,Periódicos digitales y portales de noticias,Sigo noticias políticas con frecuencia,Liberal (libertades individuales y económicas),Zacatecas,PARTIDO DEL TRABAJO
83,2025-11-13T12:33:19.852765,Otro / Prefiero no decirlo,46–60 (seguimiento político frecuente),Viudo(a),Primaria,Votante frecuente en elecciones locales,Seguridad y justicia,Honestidad ante todo,"Siempre voto, soy un votante experimentado y activo",PRESIDENCIA DE LA REPÚBLICA,Mayor gasto social y apoyo a programas públicos,Mano dura contra la delincuencia,Protección a las mujeres y familias,Televisión abierta,No tengo mucho conocimiento político,Liberal (libertades individuales y económicas),San Luis Potosí,PARTIDO DEL TRABAJO
84,2025-11-13T12:33:19.852770,Masculino,60+ (votantes experimentados de larga trayectoria),Casado(a),Preparatoria / Bachillerato,Votante experimentado en elecciones federales,Medio ambiente y sustentabilidad,Experiencia política sólida,"Siempre voto, soy un votante experimentado y activo",PRESIDENCIA DE LA REPÚBLICA,Fomento al emprendimiento privado y nuevas empresas,Prevención y educación en comunidades,Cuidado del medio ambiente,Radio,He participado en campañas o debates políticos,Liberal (libertades individuales y económicas),Sinaloa,PARTIDO DEL TRABAJO
85,2025-11-13T12:33:19.852775,Femenino,26–35 (adultos jóvenes con interés político),Soltero(a),Posgrado,He votado pocas veces,Ciencia y tecnología,Carisma y liderazgo,"Voto a veces, tengo interés moderado",PRESIDENCIA DE LA REPÚBLICA,Mayor inversión en ciencia y tecnología,Más tecnología y vigilancia inteligente,Innovación tecnológica,Debates o foros políticos en línea,Sigo noticias políticas con frecuencia,Liberal (libertades individuales y económicas),Tamaulipas,PARTIDO DEL TRABAJO
86,2025-11-13T12:33:19.852780,Masculino,36–45 (votantes activos con experiencia),Unión libre,Universidad,Votante experimentado en elecciones federales,Corrupción y transparencia gubernamental,Honestidad ante todo,"Casi siempre voto, estoy bastante involucrado",PRESIDENCIA DE LA REPÚBLICA,Reducción de impuestos para incentivar inversión,Reformas profundas al sistema de justicia,Derechos digitales y privacidad,Periódicos digitales y portales de noticias,Sigo noticias políticas con frecuencia,Liberal (libertades individuales y económicas),Jalisco,PARTIDO DEL TRABAJO
87,2025-11-13T12:33:19.852785,Femenino,18–25 (jóvenes votantes primerizos),Casado(a),Secundaria,Nunca he votado pero estoy interesado,Economía y empleo,Empatía con la ciudadanía,"Nunca he votado, soy nuevo votante",PRESIDENCIA DE LA REPÚBLICA,Fomento al emprendimiento privado y nuevas empresas,Más tecnología y vigilancia inteligente,Impulso a pequeñas empresas,TikTok,No tengo mucho conocimiento político,Liberal (libertades individuales y económicas),Baja California Sur,PARTIDO DEL TRABAJO
88,2025-11-13T12:33:19.852790,Masculino,46–60 (seguimiento político frecuente),Divorciado(a),Secundaria,Votante experimentado en elecciones federales,Seguridad y justicia,Experiencia política sólida,"Siempre voto, soy un votante experimentado y activo",PRESIDENCIA DE LA REPÚBLICA,Reducción de impuestos para incentivar inversión,Mano dura contra la delincuencia,Protección a las mujeres y familias,Televisión abierta,Sigo noticias políticas con frecuencia,Liberal (libertades individuales y económicas),Querétaro,PARTIDO DEL TRABAJO
89,2025-11-13T12:33:19.852795,Femenino,60+ (votantes experimentados de larga trayectoria),Casado(a),Primaria,Votante frecuente en elecciones locales,Salud y bienestar,Honestidad ante todo,"Siempre voto, soy un votante experimentado y activo",PRESIDENCIA DE LA REPÚBLICA,Mayor gasto social y apoyo a programas públicos,Prevención y educación en comunidades,Salud pública y servicios médicos,Radio,No tengo mucho conocimiento político,Liberal (libertades individuales y económicas),Yucatán,PARTIDO DEL TRABAJO
